Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Month,Day,Hour,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Latitude,Longitude
22,2020-03-01 12:00:00,2020-01-01 21:00:00,02-01-2020 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,2020-03-03 12:00:00,2020,1,1,10.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
26,2020-02-01 16:00:00,2020-01-02 01:00:00,02-01-2020 08:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,2020-03-12 16:00:00,2020,1,2,8.0,26.9154576,75.8189817,26.9154576,75.8189817,26.9154576,75.8189817
32,2020-04-01 13:00:00,2020-01-02 07:00:00,02-01-2020 15:05,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,2020-03-18 13:00:00,2020,1,2,15.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
37,2020-03-01 05:00:00,2020-01-02 12:00:00,03-01-2020 00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-07-02 05:00:00,2020,1,2,0.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
39,2020-03-01 23:00:00,2020-01-02 14:00:00,02-01-2020 21:24,Surat,487,VEHICLE - STOLEN,32,F,Unknown,Violent Crime,13,Yes,2020-03-11 23:00:00,2020,1,2,21.0,21.2094892,72.8317058,21.2094892,72.8317058,21.2094892,72.8317058
40,2020-03-01 02:00:00,2020-01-02 15:00:00,03-01-2020 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15 02:00:00,2020,1,2,14.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
43,2020-03-01 03:00:00,2020-01-02 18:00:00,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,2020-03-17 03:00:00,2020,1,2,9.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
45,2020-05-01 19:00:00,2020-01-02 20:00:00,03-01-2020 06:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-01-12 19:00:00,2020,1,2,6.0,22.5726459,88.3638953,22.5726459,88.3638953,22.5726459,88.3638953
48,2020-05-01 17:00:00,2020-01-02 23:00:00,03-01-2020 03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14 17:00:00,2020,1,2,3.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
51,2020-03-01 05:00:00,2020-01-03 02:00:00,03-01-2020 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13 05:00:00,2020,1,3,17.0,21.1498134,79.0820556,21.1498134,79.0820556,21.1498134,79.0820556
52,2020-05-01 12:00:00,2020-01-03 03:00:00,03-01-2020 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14 12:00:00,2020,1,3,19.0,22.5726459,88.3638953,22.5726459,88.3638953,22.5726459,88.3638953
53,2020-05-01 00:00:00,2020-01-03 04:00:00,03-01-2020 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,2020-01-20 00:00:00,2020,1,3,22.0,28.7749966,77.4586967,28.7749966,77.4586967,28.7749966,77.4586967
57,2020-06-01 01:00:00,2020-01-03 08:00:00,03-01-2020 20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,2020-07-20 01:00:00,2020,1,3,20.0,26.4609135,80.3217588,26.4609135,80.3217588,26.4609135,80.3217588
60,2020-05-01 18:00:00,2020-01-03 11:00:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,2020-03-31 18:00:00,2020,1,3,5.0,19.1943294,72.9701779,19.1943294,72.9701779,19.1943294,72.9701779
62,2020-05-01 21:00:00,2020-01-03 13:00:00,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,2020-02-09 21:00:00,2020,1,3,3.0,21.2094892,72.8317058,21.2094892,72.8317058,21.2094892,72.8317058
63,2020-03-01 20:00:00,2020-01-03 14:00:00,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,2020-03-15 20:00:00,2020,1,3,9.0,13.0836939,80.270186,13.0836939,80.270186,13.0836939,80.270186
64,2020-06-01 06:00:00,2020-01-03 15:00:00,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,2020-03-20 06:00:00,2020,1,3,23.0,19.1943294,72.9701779,19.1943294,72.9701779,19.1943294,72.9701779
66,2020-06-01 14:00:00,2020-01-03 17:00:00,04-01-2020 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,2020-03-15 14:00:00,2020,1,3,11.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
68,2020-04-01 20:00:00,2020-01-03 19:00:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,2020-05-02 20:00:00,2020,1,3,8.0,17.6935526,83.2921297,17.6935526,83.2921297,17.6935526,83.2921297
69,2020-06-01 09:00:00,2020-01-03 20:00:00,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,2020-01-17 09:00:00,2020,1,3,2.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
72,2020-05-01 18:00:00,2020-01-03 23:00:00,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,2020-03-23 18:00:00,2020,1,3,11.0,21.1498134,79.0820556,21.1498134,79.0820556,21.1498134,79.0820556
74,2020-06-01 05:00:00,2020-01-04 01:00:00,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,2020-01-20 05:00:00,2020,1,4,3.0,13.0836939,80.270186,13.0836939,80.270186,13.0836939,80.270186
76,2020-06-01 00:00:00,2020-01-04 03:00:00,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,2020-01-26 00:00:00,2020,1,4,20.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
78,2020-05-01 21:00:00,2020-01-04 05:00:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,2020-03-29 21:00:00,2020,1,4,17.0,22.7203616,75.8681996,22.7203616,75.8681996,22.7203616,75.8681996
80,2020-07-01 03:00:00,2020-01-04 07:00:00,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,Unknown,Violent Crime,15,Yes,2020-01-15 03:00:00,2020,1,4,23.0,17.6935526,83.2921297,17.6935526,83.2921297,17.6935526,83.2921297
81,2020-05-01 03:00:00,2020-01-04 08:00:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,2020-03-04 03:00:00,2020,1,4,23.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
83,2020-06-01 12:00:00,2020-01-04 10:00:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,2020-03-21 12:00:00,2020,1,4,9.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
84,2020-04-01 19:00:00,2020-01-04 11:00:00,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,2020-01-20 19:00:00,2020,1,4,6.0,22.5726459,88.3638953,22.5726459,88.3638953,22.5726459,88.3638953
86,2020-06-01 17:00:00,2020-01-04 13:00:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,2020-03-11 17:00:00,2020,1,4,6.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
87,2020-07-01 06:00:00,2020-01-04 14:00:00,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,2020-01-18 06:00:00,2020,1,4,16.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
93,2020-05-01 16:00:00,2020-01-04 20:00:00,05-01-2020 07:36,Hyderabad,597,FRAUD,53,M,Unknown,Other Crime,13,Yes,2020-04-01 16:00:00,2020,1,4,7.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
97,2020-06-01 02:00:00,2020-01-05 00:00:00,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,2020-02-12 02:00:00,2020,1,5,15.0,21.1498134,79.0820556,21.1498134,79.0820556,21.1498134,79.0820556
99,2020-06-01 23:00:00,2020-01-05 02:00:00,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,2020-01-23 23:00:00,2020,1,5,14.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
100,2020-06-01 20:00:00,2020-01-05 03:00:00,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,2020-01-22 20:00:00,2020,1,5,6.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
101,2020-06-01 23:00:00,2020-01-05 04:00:00,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,2020-01-14 23:00:00,2020,1,5,14.0,23.0215374,72.5800568,23.0215374,72.5800568,23.0215374,72.5800568
104,2020-07-01 16:00:00,2020-01-05 07:00:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,2020-02-19 16:00:00,2020,1,5,14.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
106,2020-06-01 00:00:00,2020-01-05 09:00:00,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,Unknown,Violent Crime,12,Yes,2020-02-22 00:00:00,2020,1,5,10.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
108,2020-07-01 12:00:00,2020-01-05 11:00:00,06-01-2020 09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,2020-02-09 12:00:00,2020,1,5,9.0,12.9767936,77.590082,12.9767936,77.590082,12.9767936,77.590082
111,2020-07-01 04:00:00,2020-01-05 14:00:00,05-01-2020 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,2020-02-16 04:00:00,2020,1,5,23.0,17.6935526,83.2921297,17.6935526,83.2921297,17.6935526,83.2921297
113,2020-07-01 09:00:00,2020-01-05 16:00:00,06-01-2020 14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,2021-11-08 09:00:00,2020,1,5,14.0,12.9767936,77.590082,12.9767936,77.590082,12.9767936,77.590082
115,2020-07-01 13:00:00,2020-01-05 18:00:00,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,2020-02-03 13:00:00,2020,1,5,8.0,18.5213738,73.8545071,18.5213738,73.8545071,18.5213738,73.8545071
117,2020-07-01 04:00:00,2020-01-05 20:00:00,06-01-2020 10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,2020-03-13 04:00:00,2020,1,5,10.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
118,2020-06-01 20:00:00,2020-01-05 21:00:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,2020-03-30 20:00:00,2020,1,5,2.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
119,2020-07-01 19:00:00,2020-01-05 22:00:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,2020-02-27 19:00:00,2020,1,5,23.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
120,2020-07-01 02:00:00,2020-01-05 23:00:00,06-01-2020 07:04,Pune,537,TRAFFIC VIOLATION,70,M,Unknown,Traffic Fatality,3,Yes,2020-01-27 02:00:00,2020,1,5,7.0,18.5213738,73.8545071,18.5213738,73.8545071,18.5213738,73.8545071
121,2020-07-01 14:00:00,2020-01-06 00:00:00,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,2020-01-22 14:00:00,2020,1,6,12.0,23.0215374,72.5800568,23.0215374,72.5800568,23.0215374,72.5800568
122,2020-08-01 19:00:00,2020-01-06 01:00:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,2020-04-06 19:00:00,2020,1,6,22.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
128,2020-07-01 04:00:00,2020-01-06 07:00:00,07-01-2020 02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,2020-04-01 04:00:00,2020,1,6,2.0,28.7749966,77.4586967,28.7749966,77.4586967,28.7749966,77.4586967
130,2020-08-01 14:00:00,2020-01-06 09:00:00,06-01-2020 14:55,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,2020-05-20 14:00:00,2020,1,6,14.0,28.7749966,77.4586967,28.7749966,77.4586967,28.7749966,77.4586967
137,2020-07-01 23:00:00,2020-01-06 16:00:00,07-01-2020 01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,2020-01-23 23:00:00,2020,1,6,1.0,23.0215374,72.5800568,23.0215374,72.5800568,23.0215374,72.5800568
140,2020-08-01 16:00:00,2020-01-06 19:00:00,07-01-2020 01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,2020-02-06 16:00:00,2020,1,6,1.0,26.9154576,75.8189817,26.9154576,75.8189817,26.9154576,75.8189817
142,2020-07-01 23:00:00,2020-01-06 21:00:00,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,2020-03-27 23:00:00,2020,1,6,6.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
144,2020-07-01 06:00:00,2020-01-06 23:00:00,07-01-2020 16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,2020-02-04 06:00:00,2020,1,6,16.0,25.3356491,83.0076292,25.3356491,83.0076292,25.3356491,83.0076292
147,2020-07-01 16:00:00,2020-01-07 02:00:00,07-01-2020 18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,2020-01-26 16:00:00,2020,1,7,18.0,29.0018557,77.7679671,29.0018557,77.7679671,29.0018557,77.7679671
149,2020-07-01 06:00:00,2020-01-07 04:00:00,08-01-2020 01:09,Agra,558,IDENTITY THEFT,41,F,Unknown,Violent Crime,5,Yes,2020-02-27 06:00:00,2020,1,7,1.0,27.1752554,78.0098161,27.1752554,78.0098161,27.1752554,78.0098161
150,2020-07-01 08:00:00,2020-01-07 05:00:00,07-01-2020 11:19,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,2020-04-03 08:00:00,2020,1,7,11.0,25.6093239,85.1235252,25.6093239,85.1235252,25.6093239,85.1235252
151,2020-08-01 08:00:00,2020-01-07 06:00:00,07-01-2020 13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,2020-03-27 08:00:00,2020,1,7,13.0,23.2584857,77.401989,23.2584857,77.401989,23.2584857,77.401989
156,2020-10-01 05:00:00,2020-01-07 11:00:00,07-01-2020 12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,2020-04-02 05:00:00,2020,1,7,12.0,18.5213738,73.8545071,18.5213738,73.8545071,18.5213738,73.8545071
159,2020-09-01 18:00:00,2020-01-07 14:00:00,08-01-2020 06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,2020-02-08 18:00:00,2020,1,7,6.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
160,2020-07-01 19:00:00,2020-01-07 15:00:00,08-01-2020 14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,2020-03-22 19:00:00,2020,1,7,14.0,22.5726459,88.3638953,22.5726459,88.3638953,22.5726459,88.3638953
161,2020-09-01 03:00:00,2020-01-07 16:00:00,08-01-2020 09:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,2020-02-19 03:00:00,2020,1,7,9.0,29.0018557,77.7679671,29.0018557,77.7679671,29.0018557,77.7679671
165,2020-10-01 00:00:00,2020-01-07 20:00:00,08-01-2020 06:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,2020-12-23 00:00:00,2020,1,7,6.0,28.7749966,77.4586967,28.7749966,77.4586967,28.7749966,77.4586967
166,2020-10-01 14:00:00,2020-01-07 21:00:00,08-01-2020 00:42,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,2020-03-10 14:00:00,2020,1,7,0.0,23.0215374,72.5800568,23.0215374,72.5800568,23.0215374,72.5800568
167,2020-08-01 16:00:00,2020-01-07 22:00:00,08-01-2020 05:25,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,2020-01-27 16:00:00,2020,1,7,5.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
168,2020-08-01 22:00:00,2020-01-07 23:00:00,08-01-2020 02:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,2020-03-04 22:00:00,2020,1,7,2.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
170,2020-10-01 07:00:00,2020-01-08 01:00:00,08-01-2020 05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,2020-01-17 07:00:00,2020,1,8,5.0,19.2396742,73.1366482,19.2396742,73.1366482,19.2396742,73.1366482
171,2020-09-01 11:00:00,2020-01-08 02:00:00,08-01-2020 18:43,Agra,352,COUNTERFEITING,24,M,Unknown,Other Crime,14,Yes,2020-03-11 11:00:00,2020,1,8,18.0,27.1752554,78.0098161,27.1752554,78.0098161,27.1752554,78.0098161
173,2020-11-01 03:00:00,2020-01-08 04:00:00,08-01-2020 13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,2021-10-29 03:00:00,2020,1,8,13.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
175,2020-09-01 00:00:00,2020-01-08 06:00:00,08-01-2020 10:27,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,2020-06-15 00:00:00,2020,1,8,10.0,21.2094892,72.8317058,21.2094892,72.8317058,21.2094892,72.8317058
176,2020-09-01 23:00:00,2020-01-08 07:00:00,08-01-2020 22:06,Lucknow,292,BURGLARY,66,F,Unknown,Other Crime,14,Yes,2020-06-28 23:00:00,2020,1,8,22.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
177,2020-08-01 14:00:00,2020-01-08 08:00:00,09-01-2020 02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,2020-03-21 14:00:00,2020,1,8,2.0,13.0836939,80.270186,13.0836939,80.270186,13.0836939,80.270186
180,2020-10-01 01:00:00,2020-01-08 11:00:00,09-01-2020 02:31,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,Yes,2020-01-23 01:00:00,2020,1,8,2.0,18.5213738,73.8545071,18.5213738,73.8545071,18.5213738,73.8545071
183,2020-10-01 09:00:00,2020-01-08 14:00:00,08-01-2020 17:18,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,2021-05-09 09:00:00,2020,1,8,17.0,23.0215374,72.5800568,23.0215374,72.5800568,23.0215374,72.5800568
185,2020-08-01 19:00:00,2020-01-08 16:00:00,08-01-2020 17:27,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,2020-03-03 19:00:00,2020,1,8,17.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
186,2020-11-01 15:00:00,2020-01-08 17:00:00,09-01-2020 08:32,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,2020-03-12 15:00:00,2020,1,8,8.0,12.9767936,77.590082,12.9767936,77.590082,12.9767936,77.590082
187,2020-09-01 09:00:00,2020-01-08 18:00:00,09-01-2020 10:28,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,2020-02-13 09:00:00,2020,1,8,10.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
188,2020-09-01 18:00:00,2020-01-08 19:00:00,09-01-2020 18:53,Nagpur,236,IDENTITY THEFT,66,F,Unknown,Violent Crime,14,Yes,2020-03-15 18:00:00,2020,1,8,18.0,21.1498134,79.0820556,21.1498134,79.0820556,21.1498134,79.0820556
189,2020-09-01 04:00:00,2020-01-08 20:00:00,09-01-2020 03:24,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,Yes,2020-03-23 04:00:00,2020,1,8,3.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
190,2020-11-01 05:00:00,2020-01-08 21:00:00,08-01-2020 21:24,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,15,Yes,2020-02-12 05:00:00,2020,1,8,21.0,13.0836939,80.270186,13.0836939,80.270186,13.0836939,80.270186
192,2020-09-01 02:00:00,2020-01-08 23:00:00,09-01-2020 20:39,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,Yes,2020-01-20 02:00:00,2020,1,8,20.0,28.6328027,77.2197713,28.6328027,77.2197713,28.6328027,77.2197713
194,2020-09-01 09:00:00,2020-01-09 01:00:00,09-01-2020 04:00,Jaipur,389,DOMESTIC VIOLENCE,49,M,Unknown,Violent Crime,12,Yes,2020-03-06 09:00:00,2020,1,9,4.0,26.9154576,75.8189817,26.9154576,75.8189817,26.9154576,75.8189817
196,2020-10-01 04:00:00,2020-01-09 03:00:00,10-01-2020 00:18,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,4,Yes,2020-02-14 04:00:00,2020,1,9,0.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
197,2020-10-01 10:00:00,2020-01-09 04:00:00,09-01-2020 15:55,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,Other Crime,1,Yes,2020-01-24 10:00:00,2020,1,9,15.0,23.0215374,72.5800568,23.0215374,72.5800568,23.0215374,72.5800568
198,2020-11-01 17:00:00,2020-01-09 05:00:00,09-01-2020 10:20,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,10,Yes,2020-01-22 17:00:00,2020,1,9,10.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
201,2020-11-01 23:00:00,2020-01-09 08:00:00,10-01-2020 04:27,Srinagar,365,COUNTERFEITING,27,F,Blunt Object,Other Crime,8,Yes,2020-02-05 23:00:00,2020,1,9,4.0,34.0747444,74.8204443,34.0747444,74.8204443,34.0747444,74.8204443
203,2020-10-01 04:00:00,2020-01-09 10:00:00,09-01-2020 12:58,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,2,Yes,2020-03-15 04:00:00,2020,1,9,12.0,19.054999,72.8692035,19.054999,72.8692035,19.054999,72.8692035
204,2020-11-01 16:00:00,2020-01-09 11:00:00,09-01-2020 13:00,Lucknow,427,KIDNAPPING,16,F,Firearm,Other Crime,5,Yes,2020-03-14 16:00:00,2020,1,9,13.0,26.8381,80.9346001,26.8381,80.9346001,26.8381,80.9346001
205,2020-11-01 04:00:00,2020-01-09 12:00:00,10-01-2020 02:34,Hyderabad,340,SHOPLIFTING,59,F,Other,Other Crime,13,Yes,2020-03-03 04:00:00,2020,1,9,2.0,17.360589,78.4740613,17.360589,78.4740613,17.360589,78.4740613
206,2020-09-01 22:00:00,2020-01-09 13:00:00,09-01-2020 23:51,Thane,246,VEHICLE - STOLEN,44,F,Unknown,Violent Crime,7,Yes,2020-02-29 22:00:00,2020,1,9,23.0,19.1943294,72.9701779,19.1943294,72.9701779,19.1943294,72.9701779
207,2020-11-01 08:00:00,2020-01-09 14:00:00,10-01-2020 12:37,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,3,Yes,2020-02-10 08:00:00,2020,1,9,12.0,12.9767936,77.590082,12.9767936,77.590082,12.9767936,77.590082
